Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
373,Pacific Union Elementary School District,25.2,15239,42011
374,Lassen Union High School District,25.29,11560,61498
375,Oakdale Joint Unified School District,25.43,11048,64123
376,Escondido Union Elementary School District,25.48,10895,64901
377,Kit Carson Elementary School District,25.49,12916,54155
378,Manchester Union Elementary School District,25.56,20325,50694
379,Compton Unified School District,25.6,13338,51835
380,Manzanita Elementary School District,25.61,10213,68438
381,Salinas City Elementary School District,25.82,12196,57746
382,Chawanakee Joint Unified School District,25.88,11529,61250
383,Belleview Elementary School District,25.92,13006,53371
384,Menifee Union Elementary School District,26.04,10282,67764
385,Yreka Union High School District,26.1,14574,44910
386,Ocean View School District,26.2,11780,59691
387,Riverbank Unified School District,26.33,13064,52772
388,Laytonville Unified School District,26.38,15261,41061
389,Escondido Union High School District,26.42,10600,65809
390,Mccloud Union Elementary School District,26.44,15365,40469
391,Midway Elementary School District,26.48,21847,43250
392,Moorpark Unified School District,26.66,10335,104573
393,Sylvan Union Elementary School District,26.72,10114,68181
394,Kern High School District,26.74,12847,53641
395,Piner Olivet Union Elementary School District,26.76,12372,93818
396,Tulare Joint Union High School District,26.77,13538,49945
397,Sierra Sands Unified School District,26.84,10915,63836
398,Central Unified School District,26.86,11136,62652
399,Irvine Unified School District,27.14,10962,101576
400,Colton Joint Unified School District,27.17,12254,56486
401,Jefferson Union High School District,27.19,11892,96673
402,Lemoore Union High School District,27.26,12162,56917
403,Ferndale Unified School District,27.27,13194,51424
404,Yosemite Unified School District,27.32,10739,64438
405,Cajon Valley Union School District,27.34,11300,61440
406,Clear Creek Elementary School District,27.38,9741,69702
407,Alisal Union School District,27.4,11870,58371
408,Lake Tahoe Unified School District,27.46,12236,56380
409,Empire Union Elementary School District,27.5,11870,58295
410,Perris Elementary School District,27.54,13764,48200
411,Auburn Union Elementary School District,27.56,10837,63745
412,Brentwood School District,27.6,10586,103902
413,Happy Valley Union School District,27.6,11351,60984
414,Ripon Unified School District,27.63,7044,83863
415,Cinnabar Elementary School District,27.85,14398,83816
416,Etiwanda Elementary School District,27.88,10347,105367
417,Pollock Pines Elementary School District,27.95,11191,61588
418,Cascade Union Elementary School District,28.05,15458,38841
419,Mt Diablo Unified School District,28.07,12803,92445
420,Kelseyville Unified School District,28.27,13037,51552
421,Hanford Joint Union High School District,28.3,11661,58848
422,Central School District,28.35,10171,66730
423,Calaveras Unified School District,28.38,11908,57474
424,Goleta Union School District,28.39,15388,78927
425,Capistrano Unified School District,28.62,9388,110985
426,Albany City Unified School District,28.67,13596,88655
427,San Lorenzo Valley Unified School District,28.69,5736,90070
428,San Juan Unified School District,28.72,11096,61552
429,Riverdale Joint Unified School District,28.84,13126,50678
430,Hughes Elizabeth Lakes Union School District,28.85,10414,65086
431,Mt Baldy Elementary School District,28.88,12872,52000
432,Hilmar Unified School District,28.89,11220,60778
433,Berkeley Unified School District,28.98,15081,80979
434,Novato Unified School District,29.07,11526,99938
435,Liberty Union High School District,29.11,11157,101929
436,Live Oak Unified School District,29.19,11921,56835
437,Oceanside Unified School District,29.24,11020,61595
438,Greenfield Union Elementary School District,29.25,12020,56271
439,Rescue Elementary School District,29.52,10128,107686
440,Snowline Joint Unified School District,29.73,11433,59053
441,Golden Plains Unified School District,29.96,15323,38211
442,Old Adobe Union School District,30.02,12367,96135
443,Mark Twain Union Elementary School District,30.02,10685,62822
444,Sequoia Union Elementary School District,30.08,10628,63083
445,Brittan Elementary School District,30.13,9201,70638
446,Santa Rita Union Elementary School District,30.25,9988,66367
447,Holtville Unified School District,30.26,13379,48333
448,Baldwin Park Unified School District,30.28,10768,62201
449,Burrel Union Elementary School District,30.61,14692,41111
450,Big Sur Unified School District,30.68,15982,34205
451,Anderson Union High School District,30.91,12933,50250
452,Shaffer Union Elementary School District,30.92,11982,55294
453,Three River Union Elementary School District,30.97,9027,70972
454,Bitterwater Tully Union School District,31.06,13471,91000
455,Kirkwood Elementary School District,31.1,11309,58750
456,Cayucos Elementary School District,31.11,18712,63175
457,Black Butte Union School District,31.17,13521,46939
458,South San Francisco Unified School District,31.24,12036,98757
459,Pierce J. T. Unified School District,31.36,10849,61006
460,Millville Elementary School District,31.46,9954,65694
461,Fort Sage Unified School District,31.54,13201,48382
462,Montebello Unified School District,31.54,12986,49521
463,Salida Union Elementary School District,31.58,8539,73134
464,Gustine Unified School District,31.64,11500,57353
465,Centinela Valley Union High School District,31.77,12662,51085
466,San Bruno Park Elementary School District,31.77,11347,102793
467,Maple Elementary School District,31.88,9442,68125
468,Tulelake Basin Joint Unified School District,32.18,14975,38500
469,Conejo Valley Unified School District,32.42,10744,106452
470,Castaic Union School District,32.47,10350,108584
471,Sonora Union High School District,32.63,11941,54309
472,Chualar Elementary School District,32.69,12091,53472
473,Livingston Union School District,32.74,12361,52004
474,Edison Elementary School District,32.75,12867,49306
475,Shasta Union High School District,32.84,12289,52315
476,Placerville Union Elementary School District,32.88,10386,62404
477,Lincoln Unified School District,32.91,10517,61686
478,Chatom Union School District,32.96,12813,49446
479,Acton-Agua Dulce Unified School District,33.07,3161,100676
480,Laton Joint Unified School District,33.16,13994,43021
481,Rim World Unified School District,33.18,11281,57433
482,Cuddeback Elementary School District,33.31,10839,59688
483,Yucaipa Joint Unified School District,33.38,10061,63778
484,Scott Valley Unified School District,33.46,12749,49428
485,Bayshore Elementary School District,33.54,13730,91366
486,Tehachapi Unified School District,33.58,10066,63607
487,Hanford Elementary School District,33.72,11618,55264
488,Keyes Union Elementary School District,33.75,11640,55124
489,Bishop Unified School District,33.8,11574,55437
490,Lompoc Unified School District,33.82,10801,59535
491,South Bay Union Elementary School District,33.84,10239,62508
492,South Monterey County Joint Union High School District,33.89,12027,52969
493,Union Hill Elementary School District,33.93,9554,66083
494,Palmdale Elementary School District,33.94,12106,52509
495,Montague Elementary School District,34.01,12656,49536
496,Jamestown Elementary School District,34.07,12811,48674
497,Stoney Creek Joint Unified School District,34.08,23294,40909
498,Reeds Creek Elementary School District,34.1,9169,68011
499,Yuba City Unified School District,34.11,11581,55186
500,Inglewood Unified School District,34.26,12149,52059
501,Knights Ferry Elementary School District,34.28,8458,71667
502,El Nido School District,34.34,13765,43409
503,Sundale Unified Elementary School District,34.92,10035,62832
504,San Jose Unified School District,35.19,11570,104013
505,Mountain Elementary School District,35.28,12748,97813
506,Dehesa Elementary School District,35.31,2207,104167
507,Merced Union High School District,35.51,12554,49028
508,Traver Joint Elementary School District,35.61,13144,45819
509,River Delta Unified School District,35.61,10048,62274
510,Merced River Union Elementary School District,35.64,11403,55052
511,Chicago Park Elementary School District,35.64,9602,64625
512,Grass Valley Elementary School District,35.79,12542,48889
513,Visalia Unified School District,35.81,11230,55849
514,Twin Rivers Unified School District,35.84,12954,46667
515,Woodlake Unified School District,35.88,13407,44232
516,Perris Union High School District,35.91,12656,48200
517,Castle Rock Union School District,35.93,14700,37321
518,Nevada City Elementary School District,35.99,10506,59571
519,Caruthers Unified School District,36.04,13392,44196
520,Coachella Valley Unified School District,36.05,14930,36012
521,Tulare City School District,36.07,11692,53213
522,Lindsay Unified School District,36.08,15333,33854
523,Stanislaus Union Elementary School District,36.21,10810,57804
